"date","username","comment","rating","sentiment"
"4/15/2022","hani280103","
Sudah ada new formula yaitu blue light protection sehingga jadi lebih nyaman dan aman saat terpapar cahaya gadget. Harga murah meriah","5","Positive"
"12/20/2021","d*****m","Bagusss, udah beli yang kedua kalinya di store asli. Sebelumnya pernah beli di store lain trus saya kira barangnya palsu. Eh ternyata emang ganti kemasan pas setelah lihat dari barang yg beli di storenya yg asli.makasi kak","5","Neutral"
"8/20/2022","d*****i","Paking aman, pengiriman cepet, pesenan yang kesekian kali nya harga gak nguras kantong produk original semua makasih miiiinnnn lancar terus untuk azarine topp banget gak ada dua nya","5","Neutral"
"12/17/2021","d*****i","Baru pertama kali coba. Krn byk yg bilang bagus. So far pengaplikasian pertama nyaman bgt, fragrancenya samar2 gitu. Cocok nih buat re-apply, krn cepat menyerap & nggak bikin oily. Adem lagi.","5","Positive"
"5/16/2022","f*****a","Sukaa bangett sama sunscreen Azzarine ini, ringan banget dipakai nya, sooo recommended guys. Thanks seller","5","Positive"
"10/22/2021","r*****h","Bentuknya gel, dan pas diaplikasikan rasanya adem. Semoga cocok deh sama ini sunscreen. Oh iya pengiriman nya juga cepet","5","Positive"
"12/17/2021","d*****3","Makasih miminnnn","5","Neutral"
"3/6/2022","d*****r","Pakai produk ini terus udah hampir 2 tahun dan sering beli di official storenya Azarine krn packingan aman, brg cpt sampai. Aku suka produk ini krn ga bikin white cast di wajah,lembut di wajah,agak cpt menyerap.. Azarine tdk sperti produk sunscreen pd umumnya..","5","Positive"
"1/4/2023","4n4f4d1l","Alhamdulillah.. Saya sangat suka dengan toko ini, penjualnya ramah, chat dibalas, pesananku lengkap, pengemasan bagus sehingga barang datang dalam keadaan bagus juga. Toko ini benar2 bagus dan amanah. Semoga selalu sukses dan dilancarkan usahanya. Kurirnya juga baik dan ramah. Terimakasih. Lain kali pasti belanja lagi di toko ini.","5","Positive"
"1/10/2022","anggiiadwii","dengan harga promo , worth it si , belum coba jdi blm tau efeknya gmn .","5","Neutral"
"4/9/2022","k*****_","Sunscreen ini bagus untuk yang mempunyai kulit yg super duper oilydan acne prone, karna sunscreen ini ngga bikin kulit kalian tambah berminyak/berjerawat dan sunscreen ini mudah di blend ni udah pemakaian botol 4 karena emng secocok itu di kulit kuuuuu dan kmrin dpt diskon ­thanks azarine","5","Positive"
"11/15/2021","intanprestiananda","produknya bagus trs paketnya cpt bngt sampai trimakasih banyak","5","Positive"
"4/2/2022","e*****6","finally my second order. aku kaget bgt sunscreen nya cocok di mukaku. berawal dri racun tiktok dan akhirnya jd sunscreen kesukaanku. buat yg masi ragu mau beli ss azarine, buruan deh beli sblm nyesel krn gapake ss sebagus ini. bnr aman di kulit yg sensitive. anw thank u sm azarine","5","Positive"
"12/24/2021","nyomanlusiana","Tekstur yang lembut ringan dan mudah diserap. Selain itu juga tidak meninggalkan whitecast jadi gak bikin wjh putih2 dan ga berminyak. Selain itu juga buat kulit lembab gitu. Ini udh tube ke 4 aku  smogaa selalu cocok sama sunscreen azarine ,, dan smoga kedepanya dapat bonus thanks seller","5","Positive"
"4/24/2022","floosd","Salah satu sunscreen yang viral dan mendapatkan review yang positif.spf 45 PA+ berguna untuk melindungi kulit dari bahayanya sinar matahari. memiliki jenis cream yang menyeram dan cocok untuk kulit berminyak","5","Positive"
"11/13/2021","primayudha04","Ngak nyangka barengny udah nyampe, bru pertama kali sih beli di official shopnya","5","Neutral"
"11/16/2022","m*****7","Bagus banget, gk tau udah repurchase yg ke berapa karna sesering itu belinya
Mencoba pindah ke merek lain tapi tetep aja balik lagi ke azarine
You did a great job azarine","5","Positive"
"7/8/2022","n*****i","kemasan sekarang ada logo halal dibelakang nyaa, keadaan barang bagus dalemnya juga disegel gitu.","5","Positive"
"4/24/2022","a*****9","Kedua kalinya beli sunscreen azarine. Ada banget efeknya dan ringan juga dipakenya. Packing standar tapi aman. Dapet promo juga. Thanks!","5","Positive"
"10/18/2022","irfansyaifudin.id","Kali ini lumayan dapet harga disc plus promo dari shopee, langsung restock dua buat jaga - jaga. Salah satu sunscreen yang cocok dan oke banget karena cepat meresap, gak whitecast, trs ada blue light protection pula. 
Pengiriman cepet banget, dikirim sama mas kurir langganan juga","5","Positive"
"8/24/2022","i*****n","Alhamdulillah paketnya uda nyampe dipacking kardus tampa buble wrap tapi ttp aman kok lengkap gadak kurang apapun hihi bagus deh pokonya","5","Positive"
"11/6/2021","s*****n","Satu satunya jadi sunscreen ku.. udah repurchase berkali kali.. ngeborong sebanyak ini hanya untuk diri sendiri. Karena emang udah loovv buanget sama sunscreen ini..","5","Neutral"
"12/9/2022","ahuidvy","cepat meresap, bagus untuk yang kurang suka pakai sunscreen karena ringan sempet khawatir beda dari yang dulu aku pernah beli hehe ternyata emang kemasannya uda berubah lebih bagus lagi ya. langsung beli twinpack karena dlu aku cocok & membantu penyembuhan bekas jerawat aku sebagai basic skincare. semoga masih cocok seperti waktu itu","5","Positive"
"8/5/2022","a*****i","kulit kombinasi dan kadang sensitif, ringan lembut, tidak perih dimata. Ini udh ke 2 kali aku beli ssnya, menurut aku ssnya lebih moist terus kalau dipake diarea sekitar mata itu gak bikin perih kaya ss yg lain yg aku pake","5","Positive"
"8/13/2022","t*****u","lembut, oke, Barang sudah sampai dengan selamat,azarine oke,cocok diwajahku,tidak menyebabkan iritasi oke banget","5","Positive"
"5/19/2022","o*****a","bagus, langsung menyerap, bagus, katanya klo beli paket bundling dpt gratisan eh pas dibuka ga dpt, tp ya gpp deh huhuhuhhuuu","4","Neutral"
"1/12/2022","f*****1","baik, Kualitasnya produknya memang sesuai dideskripsikan. Packagingnya rapih. Produk original dan harga sesuai dengan kualitas yang terkandung dalam produk ini.","5","Positive"
"1/23/2023","ridhasyahputra","barang sampai denga aman, tidak ada kerusanan selama pengiriman, masa kadaluarsanya juga masih lama, recomended banget belanja disini. makasih seller, moga makin sukses.","5","Neutral"
"10/19/2021","n4bilasalsa","cepat nyerap, Bagus, pengiriman nya cepet bangett padahal jauh dari sidoarjo, beli pas lagi diskon mantap, suka banget aaa sama sunscreen nya karena enteng banget jadi ga berasa pake sunscreen","5","Positive"
"12/16/2022","n*****v","bagus, kulit berjerawat, gel ringan di wajah, Udah pakek kesekian kalinya cocok di kulit akuu yang sensitif ini","5","Positive"
"2/3/2022","v*****y","mudah diratakan dan cepat meyerap. bagus sih gaada white cast, ga lengket, ringan jg dikulit. kardusnya penyok, didalam gaada bbw. Produk aman sih, untung ga kenapa2. Gaada alcohol, frangrace, silicone + oil free jg.","5","Positive"
"12/3/2022","jhayasukmah","Good","5","Positive"
"12/9/2021","r*****a","Bagus, Paket sampai dengan selamat. Packaging aman tapi ada yang penyok but it's ok. Sudah jatuh cinta sama ini sunscreen.","5","Positive"
"11/17/2022","endahprastiwi112","baik, cocok untuk kulit berjerawat, ringan, Udh beberapa kali beli. Tpi baru 2 kali beli di officialnya. Btw beli langsung di official sama di tempat lain itu bener bener beda bgt gatau knpaa aku lebih suka beli di sini di officialnya dripada di tempat lain kek lain aja. Doi suka protes klo beli 1 wkwkw jadi yaudah sekalian beli 2 karna 2 org yg pake kata dia wkwk","5","Positive"
"10/14/2021","lidiawatiiii","mudah menyerap, cair, Packing rapih, Pengiriman aga lama, mungkin karena 10.10 yaaa, Semoga cocok, Maksih","5","Positive"
"12/14/2022","31gvlimso8","sangat Bagus, Cocok Untuk semua jenis kulit, Memang produk azarine tidak pernah mengecewakan","5","Positive"
"9/27/2022","marianariaana","bagus banget sukak, Cocok Untuk semua jenis kulit, Sukak banget ama ss ini, next order lagi","5","Positive"
"11/2/2021","alisyahpa","Daya Serap lumayan cpt, bagus banget, Purchase kedua hehehehe jujur sunscreen azarine paling mantul sih. Tdk buat white cast, cepat nyerap, dan bagus banget gk buat bruntusan. Cocok buat kulit ku yg berminyak, pokoknya ringan banget.","5","Positive"
"12/13/2021","aristasalsabila12","Daya serap sangat cepat dan ringan, baguss, Baru pesan kemarin dan sekrang udah sampai aja, cuman sekitar 1 hari aja","5","Positive"
"7/7/2022","v*****a","Barang oke, sunscreen bentul gel ringan diwajah. Cepat menyerap, cenderung matte dan kering di wajah. Jadi sebaiknya menggunakan pelembab dulu. Jgn skip pelembap ya ladies.","5","Positive"
